('Episode: 46', 'Reward: 1130.0', 'Loss: 1.16605520248', 'Explore P: 0.1066')
('Episode: 47', 'Reward: 380.0', 'Loss: 1.05651450157', 'Explore P: 0.1056')
('Episode: 48', 'Reward: 540.0', 'Loss: 1.78189921379', 'Explore P: 0.1046')
('Episode: 49', 'Reward: 680.0', 'Loss: 0.641616344452', 'Explore P: 0.1038')
('Episode: 50', 'Reward: 560.0', 'Loss: 0.567036271095', 'Explore P: 0.1033')
Model Saved
('Episode: 51', 'Reward: 180.0', 'Loss: 3.34572863579', 'Explore P: 0.1030')
('Episode: 52', 'Reward: 240.0', 'Loss: 4.57277441025', 'Explore P: 0.1027')
('Episode: 53', 'Reward: 520.0', 'Loss: 1.06999492645', 'Explore P: 0.1020')
('Episode: 54', 'Reward: 380.0', 'Loss: 3.69310593605', 'Explore P: 0.1019')
('Episode: 55', 'Reward: 480.0', 'Loss: 1.79886674881', 'Explore P: 0.1017')
('Episode: 56', 'Reward: 460.0', 'Loss: 1.20458304882', 'Explore P: 0.1015')
('Episode: 57', 'Reward: 540.0', 'Loss: 1.97566699982', 'Explore P: 0.1013')
('Episode: 58', 'Reward: 400.0', 'Loss: 1.43051028252', 'Explore P: 0.1012')
('Episode: 59', 'Reward: 200.0', 'Loss: 1.67320775986', 'Explore P: 0.1011')
('Episode: 60', 'Reward: 220.0', 'Loss: 2.04990911484', 'Explore P: 0.1011')
('Episode: 61', 'Reward: 480.0', 'Loss: 0.664331793785', 'Explore P: 0.1009')
('Episode: 62', 'Reward: 1120.0', 'Loss: 1.58246719837', 'Explore P: 0.1008')
('Episode: 63', 'Reward: 540.0', 'Loss: 1.47824859619', 'Explore P: 0.1007')
('Episode: 64', 'Reward: 200.0', 'Loss: 2.84043574333', 'Explore P: 0.1007')
('Episode: 65', 'Reward: 520.0', 'Loss: 1.21889531612', 'Explore P: 0.1006')
('Episode: 66', 'Reward: 2470.0', 'Loss: 7.572681427', 'Explore P: 0.1005')
('Episode: 67', 'Reward: 460.0', 'Loss: 14.9042615891', 'Explore P: 0.1005')
('Episode: 68', 'Reward: 700.0', 'Loss: 0.691279768944', 'Explore P: 0.1004')
('Episode: 69', 'Reward: 120.0', 'Loss: 1.20530593395', 'Explore P: 0.1004')
('Episode: 70', 'Reward: 990.0', 'Loss: 3.70756530762', 'Explore P: 0.1003')
('Episode: 71', 'Reward: 2420.0', 'Loss: 1.41577649117', 'Explore P: 0.1003')
('Episode: 72', 'Reward: 360.0', 'Loss: 1.15437936783', 'Explore P: 0.1003')
('Episode: 73', 'Reward: 440.0', 'Loss: 5.46847629547', 'Explore P: 0.1002')
('Episode: 74', 'Reward: 480.0', 'Loss: 1.17519283295', 'Explore P: 0.1002')
('Episode: 75', 'Reward: 440.0', 'Loss: 2.3781914711', 'Explore P: 0.1002')
('Episode: 76', 'Reward: 1700.0', 'Loss: 1.12616455555', 'Explore P: 0.1002')
('Episode: 77', 'Reward: 320.0', 'Loss: 1.19485187531', 'Explore P: 0.1002')
('Episode: 78', 'Reward: 560.0', 'Loss: 2.10451054573', 'Explore P: 0.1001')
('Episode: 79', 'Reward: 1260.0', 'Loss: 0.840520322323', 'Explore P: 0.1001')
('Episode: 80', 'Reward: 560.0', 'Loss: 3.55959844589', 'Explore P: 0.1001')
('Episode: 81', 'Reward: 1130.0', 'Loss: 2.36121082306', 'Explore P: 0.1001')
('Episode: 82', 'Reward: 1520.0', 'Loss: 1.47395575047', 'Explore P: 0.1001')
('Episode: 83', 'Reward: 580.0', 'Loss: 3.15993642807', 'Explore P: 0.1001')
('Episode: 84', 'Reward: 540.0', 'Loss: 3.82881450653', 'Explore P: 0.1001')
('Episode: 85', 'Reward: 160.0', 'Loss: 1.16139435768', 'Explore P: 0.1001')
('Episode: 86', 'Reward: 420.0', 'Loss: 0.565610587597', 'Explore P: 0.1000')
('Episode: 87', 'Reward: 480.0', 'Loss: 1.47672486305', 'Explore P: 0.1000')
('Episode: 88', 'Reward: 240.0', 'Loss: 0.775060534477', 'Explore P: 0.1000')
('Episode: 89', 'Reward: 420.0', 'Loss: 0.724891424179', 'Explore P: 0.1000')
('Episode: 90', 'Reward: 520.0', 'Loss: 2.85657501221', 'Explore P: 0.1000')
('Episode: 91', 'Reward: 1020.0', 'Loss: 1.10999393463', 'Explore P: 0.1000')
('Episode: 92', 'Reward: 160.0', 'Loss: 2.27223944664', 'Explore P: 0.1000')
('Episode: 93', 'Reward: 2420.0', 'Loss: 2.35798668861', 'Explore P: 0.1000')
('Episode: 94', 'Reward: 1250.0', 'Loss: 1.24566590786', 'Explore P: 0.1000')
('Episode: 95', 'Reward: 460.0', 'Loss: 0.414488315582', 'Explore P: 0.1000')
('Episode: 96', 'Reward: 420.0', 'Loss: 1.989538908', 'Explore P: 0.1000')
('Episode: 97', 'Reward: 380.0', 'Loss: 0.655706167221', 'Explore P: 0.1000')
('Episode: 98', 'Reward: 480.0', 'Loss: 2.54533171654', 'Explore P: 0.1000')
('Episode: 99', 'Reward: 260.0', 'Loss: 1.02455973625', 'Explore P: 0.1000')
('Episode: 100', 'Reward: 200.0', 'Loss: 1.87386345863', 'Explore P: 0.1000')
Model Saved
('Episode: 101', 'Reward: 640.0', 'Loss: 3.13938522339', 'Explore P: 0.1000')
('Episode: 102', 'Reward: 380.0', 'Loss: 2.10350656509', 'Explore P: 0.1000')
('Episode: 103', 'Reward: 200.0', 'Loss: 4.47611570358', 'Explore P: 0.1000')
('Episode: 104', 'Reward: 600.0', 'Loss: 2.07244539261', 'Explore P: 0.1000')
('Episode: 105', 'Reward: 480.0', 'Loss: 2.35421514511', 'Explore P: 0.1000')
('Episode: 106', 'Reward: 1490.0', 'Loss: 1.68070614338', 'Explore P: 0.1000')
('Episode: 107', 'Reward: 2390.0', 'Loss: 2.0145573616', 'Explore P: 0.1000')
('Episode: 108', 'Reward: 1980.0', 'Loss: 2.24613308907', 'Explore P: 0.1000')
('Episode: 109', 'Reward: 360.0', 'Loss: 4.10456085205', 'Explore P: 0.1000')
('Episode: 110', 'Reward: 680.0', 'Loss: 1.08010160923', 'Explore P: 0.1000')
('Episode: 111', 'Reward: 580.0', 'Loss: 3.59860444069', 'Explore P: 0.1000')
('Episode: 112', 'Reward: 400.0', 'Loss: 4.12522506714', 'Explore P: 0.1000')
('Episode: 113', 'Reward: 940.0', 'Loss: 2.231985569', 'Explore P: 0.1000')
('Episode: 114', 'Reward: 1540.0', 'Loss: 2.46544361115', 'Explore P: 0.1000')
('Episode: 115', 'Reward: 600.0', 'Loss: 3.84943270683', 'Explore P: 0.1000')
('Episode: 116', 'Reward: 260.0', 'Loss: 4.74960231781', 'Explore P: 0.1000')
('Episode: 117', 'Reward: 160.0', 'Loss: 3.53829240799', 'Explore P: 0.1000')
('Episode: 118', 'Reward: 180.0', 'Loss: 2.34796857834', 'Explore P: 0.1000')
('Episode: 119', 'Reward: 1130.0', 'Loss: 2.73052477837', 'Explore P: 0.1000')
('Episode: 120', 'Reward: 1570.0', 'Loss: 2.0701777935', 'Explore P: 0.1000')
('Episode: 121', 'Reward: 600.0', 'Loss: 1.33099496365', 'Explore P: 0.1000')
('Episode: 122', 'Reward: 340.0', 'Loss: 1.05334544182', 'Explore P: 0.1000')
('Episode: 123', 'Reward: 910.0', 'Loss: 2.50492048264', 'Explore P: 0.1000')
('Episode: 124', 'Reward: 660.0', 'Loss: 0.879839599133', 'Explore P: 0.1000')
('Episode: 125', 'Reward: 1300.0', 'Loss: 1.20257973671', 'Explore P: 0.1000')
('Episode: 126', 'Reward: 400.0', 'Loss: 4.20906925201', 'Explore P: 0.1000')
('Episode: 127', 'Reward: 400.0', 'Loss: 4.9539270401', 'Explore P: 0.1000')
('Episode: 128', 'Reward: 780.0', 'Loss: 2.83857131004', 'Explore P: 0.1000')
('Episode: 129', 'Reward: 1280.0', 'Loss: 0.894789814949', 'Explore P: 0.1000')
('Episode: 130', 'Reward: 340.0', 'Loss: 1.34430861473', 'Explore P: 0.1000')
('Episode: 131', 'Reward: 1090.0', 'Loss: 15.0793323517', 'Explore P: 0.1000')
('Episode: 132', 'Reward: 1010.0', 'Loss: 1.72582626343', 'Explore P: 0.1000')
('Episode: 133', 'Reward: 1110.0', 'Loss: 2.78984951973', 'Explore P: 0.1000')
('Episode: 134', 'Reward: 460.0', 'Loss: 3.49178361893', 'Explore P: 0.1000')
('Episode: 135', 'Reward: 440.0', 'Loss: 4.49560451508', 'Explore P: 0.1000')
('Episode: 136', 'Reward: 260.0', 'Loss: 0.855536162853', 'Explore P: 0.1000')
('Episode: 137', 'Reward: 2360.0', 'Loss: 0.981563270092', 'Explore P: 0.1000')
('Episode: 138', 'Reward: 1960.0', 'Loss: 5.10700845718', 'Explore P: 0.1000')
('Episode: 139', 'Reward: 560.0', 'Loss: 3.42305970192', 'Explore P: 0.1000')
('Episode: 140', 'Reward: 400.0', 'Loss: 1.63399815559', 'Explore P: 0.1000')
('Episode: 141', 'Reward: 1200.0', 'Loss: 2.21564650536', 'Explore P: 0.1000')
('Episode: 142', 'Reward: 720.0', 'Loss: 1.16478776932', 'Explore P: 0.1000')
('Episode: 143', 'Reward: 320.0', 'Loss: 1.45367121696', 'Explore P: 0.1000')
