Episode: 0, Total reward: 4430.0, Explore P: 0.1000, Running Average: 4430.0
23138.828 ,is the Loss
Model Saved
Episode: 1, Total reward: 1220.0, Explore P: 0.1000, Running Average: 2825.0
14770.516 ,is the Loss
Episode: 2, Total reward: 260.0, Explore P: 0.1000, Running Average: 1970.0
12140.82 ,is the Loss
Episode: 3, Total reward: 200.0, Explore P: 0.1000, Running Average: 1527.5
1624.7402 ,is the Loss
Episode: 4, Total reward: 360.0, Explore P: 0.1000, Running Average: 1294.0
3172.3813 ,is the Loss
Episode: 5, Total reward: 140.0, Explore P: 0.1000, Running Average: 1101.66666667
1336.4646 ,is the Loss
Model Saved
Episode: 6, Total reward: 1960.0, Explore P: 0.1000, Running Average: 1224.28571429
597.4419 ,is the Loss
Episode: 7, Total reward: 480.0, Explore P: 0.1000, Running Average: 1131.25
994.52576 ,is the Loss
Episode: 8, Total reward: 680.0, Explore P: 0.1000, Running Average: 1081.11111111
585.522 ,is the Loss
Episode: 9, Total reward: 400.0, Explore P: 0.1000, Running Average: 1013.0
741.1294 ,is the Loss
Episode: 10, Total reward: 950.0, Explore P: 0.1000, Running Average: 1007.27272727
1179.3992 ,is the Loss
Model Saved
Episode: 11, Total reward: 400.0, Explore P: 0.1000, Running Average: 956.666666667
2828.9917 ,is the Loss
Episode: 12, Total reward: 1330.0, Explore P: 0.1000, Running Average: 985.384615385
3460.164 ,is the Loss
Episode: 13, Total reward: 1280.0, Explore P: 0.1000, Running Average: 1006.42857143
1737.6888 ,is the Loss
Episode: 14, Total reward: 950.0, Explore P: 0.1000, Running Average: 1002.66666667
869.15735 ,is the Loss
Episode: 15, Total reward: 300.0, Explore P: 0.1000, Running Average: 958.75
1744.4573 ,is the Loss
Model Saved
Episode: 16, Total reward: 500.0, Explore P: 0.1000, Running Average: 931.764705882
2668.0767 ,is the Loss
Episode: 17, Total reward: 260.0, Explore P: 0.1000, Running Average: 894.444444444
3752.867 ,is the Loss
Episode: 18, Total reward: 800.0, Explore P: 0.1000, Running Average: 889.473684211
1518.1182 ,is the Loss
Episode: 19, Total reward: 200.0, Explore P: 0.1000, Running Average: 855.0
2121.0886 ,is the Loss
Episode: 20, Total reward: 220.0, Explore P: 0.1000, Running Average: 824.761904762
660.5925 ,is the Loss
Model Saved
Episode: 21, Total reward: 260.0, Explore P: 0.1000, Running Average: 799.090909091
696.823 ,is the Loss
Episode: 22, Total reward: 460.0, Explore P: 0.1000, Running Average: 784.347826087
3097.3586 ,is the Loss
Episode: 23, Total reward: 280.0, Explore P: 0.1000, Running Average: 763.333333333
1960.9353 ,is the Loss
Episode: 24, Total reward: 1250.0, Explore P: 0.1000, Running Average: 782.8
1061.743 ,is the Loss
Episode: 25, Total reward: 1280.0, Explore P: 0.1000, Running Average: 801.923076923
1832.6237 ,is the Loss
Model Saved
Episode: 26, Total reward: 520.0, Explore P: 0.1000, Running Average: 791.481481481
795.58923 ,is the Loss
Episode: 27, Total reward: 280.0, Explore P: 0.1000, Running Average: 773.214285714
1062.7959 ,is the Loss
Episode: 28, Total reward: 480.0, Explore P: 0.1000, Running Average: 763.103448276
1064.7843 ,is the Loss
Episode: 29, Total reward: 1540.0, Explore P: 0.1000, Running Average: 789.0
1009.0619 ,is the Loss
Episode: 30, Total reward: 440.0, Explore P: 0.1000, Running Average: 777.741935484
329.30142 ,is the Loss
Model Saved
Episode: 31, Total reward: 680.0, Explore P: 0.1000, Running Average: 774.6875
297.58505 ,is the Loss
Episode: 32, Total reward: 440.0, Explore P: 0.1000, Running Average: 764.545454545
491.31024 ,is the Loss
Episode: 33, Total reward: 560.0, Explore P: 0.1000, Running Average: 758.529411765
471.9209 ,is the Loss
Episode: 34, Total reward: 280.0, Explore P: 0.1000, Running Average: 744.857142857
1683.5149 ,is the Loss
Episode: 35, Total reward: 620.0, Explore P: 0.1000, Running Average: 741.388888889
3422.2837 ,is the Loss
Model Saved
Episode: 36, Total reward: 2700.0, Explore P: 0.1000, Running Average: 794.324324324
1721.2874 ,is the Loss
Episode: 37, Total reward: 620.0, Explore P: 0.1000, Running Average: 789.736842105
1212.2201 ,is the Loss
Episode: 38, Total reward: 520.0, Explore P: 0.1000, Running Average: 782.820512821
1087.8586 ,is the Loss
Episode: 39, Total reward: 910.0, Explore P: 0.1000, Running Average: 786.0
390.49512 ,is the Loss
Episode: 40, Total reward: 260.0, Explore P: 0.1000, Running Average: 773.170731707
1125.0554 ,is the Loss
Model Saved
