
WARNING: The TensorFlow contrib module will not be included in TensorFlow 2.0.
For more information, please see:
  * https://github.com/tensorflow/community/blob/master/rfcs/20180907-contrib-sunset.md
  * https://github.com/tensorflow/addons
If you depend on functionality not listed there, please file an issue.

WARNING:tensorflow:From keras.py:136: conv2d (from tensorflow.python.layers.convolutional) is deprecated and will be removed in a future version.
Instructions for updating:
Use keras.layers.conv2d instead.
WARNING:tensorflow:From /home/james/.local/lib/python2.7/site-packages/tensorflow/python/framework/op_def_library.py:263: colocate_with (from tensorflow.python.framework.ops) is deprecated and will be removed in a future version.
Instructions for updating:
Colocations handled automatically by placer.
WARNING:tensorflow:From keras.py:141: batch_normalization (from tensorflow.python.layers.normalization) is deprecated and will be removed in a future version.
Instructions for updating:
Use keras.layers.batch_normalization instead.
WARNING:tensorflow:From keras.py:167: flatten (from tensorflow.python.layers.core) is deprecated and will be removed in a future version.
Instructions for updating:
Use keras.layers.flatten instead.
WARNING:tensorflow:From keras.py:175: dense (from tensorflow.python.layers.core) is deprecated and will be removed in a future version.
Instructions for updating:
Use keras.layers.dense instead.
WARNING:tensorflow:From /home/james/.local/lib/python2.7/site-packages/tensorflow/python/ops/losses/losses_impl.py:448: to_float (from tensorflow.python.ops.math_ops) is deprecated and will be removed in a future version.
Instructions for updating:
Use tf.cast instead.
WARNING:tensorflow:From /home/james/.local/lib/python2.7/site-packages/tensorflow/python/ops/math_ops.py:3066: to_int32 (from tensorflow.python.ops.math_ops) is deprecated and will be removed in a future version.
Instructions for updating:
Use tf.cast instead.
Memory Ready
Training Started
2019-04-05 12:15:14.203670: I tensorflow/core/platform/profile_utils/cpu_utils.cc:94] CPU Frequency: 3401000000 Hz
2019-04-05 12:15:14.205919: I tensorflow/compiler/xla/service/service.cc:150] XLA service 0x7fffd0963630 executing computations on platform Host. Devices:
2019-04-05 12:15:14.205989: I tensorflow/compiler/xla/service/service.cc:158]   StreamExecutor device (0): <undefined>, <undefined>
('Episode: 46', 'Reward: 300.0', 'Loss: 0.500910878181', 'Explore P: 0.1041')
('Episode: 47', 'Reward: 580.0', 'Loss: 0.582421720028', 'Explore P: 0.1037')
('Episode: 48', 'Reward: 500.0', 'Loss: 0.662872552872', 'Explore P: 0.1033')
('Episode: 49', 'Reward: 360.0', 'Loss: 1.90570116043', 'Explore P: 0.1030')
('Episode: 50', 'Reward: 320.0', 'Loss: 0.753861665726', 'Explore P: 0.1027')
Model Saved
('Episode: 51', 'Reward: 620.0', 'Loss: 1.36274838448', 'Explore P: 0.1023')
('Episode: 52', 'Reward: 280.0', 'Loss: 1.16655647755', 'Explore P: 0.1021')
('Episode: 53', 'Reward: 200.0', 'Loss: 1.78151273727', 'Explore P: 0.1019')
('Episode: 54', 'Reward: 460.0', 'Loss: 1.27014374733', 'Explore P: 0.1017')
('Episode: 55', 'Reward: 380.0', 'Loss: 0.874415040016', 'Explore P: 0.1016')
('Episode: 56', 'Reward: 860.0', 'Loss: 1.32211899757', 'Explore P: 0.1014')
('Episode: 57', 'Reward: 180.0', 'Loss: 1.598508358', 'Explore P: 0.1013')
('Episode: 58', 'Reward: 520.0', 'Loss: 1.43699264526', 'Explore P: 0.1012')
('Episode: 59', 'Reward: 180.0', 'Loss: 1.90937709808', 'Explore P: 0.1012')
('Episode: 60', 'Reward: 340.0', 'Loss: 3.14516353607', 'Explore P: 0.1011')
('Episode: 61', 'Reward: 360.0', 'Loss: 3.19014263153', 'Explore P: 0.1010')
('Episode: 62', 'Reward: 200.0', 'Loss: 1.24376893044', 'Explore P: 0.1009')
('Episode: 63', 'Reward: 380.0', 'Loss: 1.0109372139', 'Explore P: 0.1009')
('Episode: 64', 'Reward: 520.0', 'Loss: 1.17957425117', 'Explore P: 0.1008')
('Episode: 65', 'Reward: 200.0', 'Loss: 2.87032985687', 'Explore P: 0.1007')
('Episode: 66', 'Reward: 380.0', 'Loss: 1.06265330315', 'Explore P: 0.1007')
('Episode: 67', 'Reward: 200.0', 'Loss: 0.665230512619', 'Explore P: 0.1006')
('Episode: 68', 'Reward: 200.0', 'Loss: 1.56946539879', 'Explore P: 0.1006')
('Episode: 69', 'Reward: 400.0', 'Loss: 1.94042515755', 'Explore P: 0.1005')
('Episode: 70', 'Reward: 260.0', 'Loss: 3.3454079628', 'Explore P: 0.1005')
('Episode: 71', 'Reward: 380.0', 'Loss: 3.83391404152', 'Explore P: 0.1005')
('Episode: 72', 'Reward: 200.0', 'Loss: 2.67417788506', 'Explore P: 0.1004')
('Episode: 73', 'Reward: 580.0', 'Loss: 5.12103414536', 'Explore P: 0.1004')
('Episode: 74', 'Reward: 200.0', 'Loss: 1.39120781422', 'Explore P: 0.1004')
('Episode: 75', 'Reward: 300.0', 'Loss: 0.81138586998', 'Explore P: 0.1003')
('Episode: 76', 'Reward: 420.0', 'Loss: 1.78649139404', 'Explore P: 0.1003')
('Episode: 77', 'Reward: 500.0', 'Loss: 2.15206813812', 'Explore P: 0.1003')
('Episode: 78', 'Reward: 420.0', 'Loss: 0.849243998528', 'Explore P: 0.1003')
('Episode: 79', 'Reward: 200.0', 'Loss: 0.926904141903', 'Explore P: 0.1002')
('Episode: 80', 'Reward: 520.0', 'Loss: 0.753490626812', 'Explore P: 0.1002')
('Episode: 81', 'Reward: 600.0', 'Loss: 0.842711985111', 'Explore P: 0.1002')
('Episode: 82', 'Reward: 180.0', 'Loss: 0.891864657402', 'Explore P: 0.1002')
('Episode: 83', 'Reward: 560.0', 'Loss: 1.17927193642', 'Explore P: 0.1002')
('Episode: 84', 'Reward: 560.0', 'Loss: 0.542869448662', 'Explore P: 0.1002')
('Episode: 85', 'Reward: 260.0', 'Loss: 2.38094687462', 'Explore P: 0.1001')
('Episode: 86', 'Reward: 320.0', 'Loss: 2.56450462341', 'Explore P: 0.1001')
('Episode: 87', 'Reward: 160.0', 'Loss: 0.407855331898', 'Explore P: 0.1001')
('Episode: 88', 'Reward: 400.0', 'Loss: 0.446083247662', 'Explore P: 0.1001')
('Episode: 89', 'Reward: 640.0', 'Loss: 0.611897945404', 'Explore P: 0.1001')
('Episode: 90', 'Reward: 200.0', 'Loss: 1.49910891056', 'Explore P: 0.1001')
('Episode: 91', 'Reward: 200.0', 'Loss: 1.06116402149', 'Explore P: 0.1001')
('Episode: 92', 'Reward: 380.0', 'Loss: 1.94346475601', 'Explore P: 0.1001')
('Episode: 93', 'Reward: 520.0', 'Loss: 0.713136017323', 'Explore P: 0.1001')
('Episode: 94', 'Reward: 500.0', 'Loss: 1.27187037468', 'Explore P: 0.1001')
('Episode: 95', 'Reward: 180.0', 'Loss: 1.34830212593', 'Explore P: 0.1001')
('Episode: 96', 'Reward: 320.0', 'Loss: 0.611145496368', 'Explore P: 0.1001')
('Episode: 97', 'Reward: 180.0', 'Loss: 1.25211071968', 'Explore P: 0.1001')
('Episode: 98', 'Reward: 180.0', 'Loss: 0.576200664043', 'Explore P: 0.1000')
('Episode: 99', 'Reward: 480.0', 'Loss: 0.832372188568', 'Explore P: 0.1000')
('Episode: 100', 'Reward: 260.0', 'Loss: 1.24999082088', 'Explore P: 0.1000')
Model Saved
('Episode: 101', 'Reward: 460.0', 'Loss: 1.95505750179', 'Explore P: 0.1000')
('Episode: 102', 'Reward: 440.0', 'Loss: 1.82833242416', 'Explore P: 0.1000')
