Loaded model
('Episode: 0', 'Total reward: 1970.0', 'Explore P: 0.5000', 'Running Average: 1970.0')
Model Saved
('Episode: 1', 'Total reward: 520.0', 'Explore P: 0.5000', 'Running Average: 1245.0')
('Episode: 2', 'Total reward: 540.0', 'Explore P: 0.5000', 'Running Average: 1010.0')
('Episode: 3', 'Total reward: 480.0', 'Explore P: 0.5000', 'Running Average: 877.5')
('Episode: 4', 'Total reward: 1130.0', 'Explore P: 0.5000', 'Running Average: 928.0')
('Episode: 5', 'Total reward: 1600.0', 'Explore P: 0.5000', 'Running Average: 1040.0')
Model Saved
('Episode: 6', 'Total reward: 620.0', 'Explore P: 0.5000', 'Running Average: 980.0')
('Episode: 7', 'Total reward: 560.0', 'Explore P: 0.5000', 'Running Average: 927.5')
('Episode: 8', 'Total reward: 220.0', 'Explore P: 0.5000', 'Running Average: 848.888888889')
('Episode: 9', 'Total reward: 1800.0', 'Explore P: 0.5000', 'Running Average: 944.0')
('Episode: 10', 'Total reward: 1740.0', 'Explore P: 0.5000', 'Running Average: 1016.36363636')
Model Saved
('Episode: 11', 'Total reward: 2120.0', 'Explore P: 0.5000', 'Running Average: 1108.33333333')
('Episode: 12', 'Total reward: 460.0', 'Explore P: 0.5000', 'Running Average: 1058.46153846')
('Episode: 13', 'Total reward: 500.0', 'Explore P: 0.5000', 'Running Average: 1018.57142857')
('Episode: 14', 'Total reward: 2290.0', 'Explore P: 0.5000', 'Running Average: 1103.33333333')
('Episode: 15', 'Total reward: 400.0', 'Explore P: 0.5000', 'Running Average: 1059.375')
Model Saved
('Episode: 16', 'Total reward: 860.0', 'Explore P: 0.5000', 'Running Average: 1047.64705882')
('Episode: 17', 'Total reward: 1320.0', 'Explore P: 0.5000', 'Running Average: 1062.77777778')
('Episode: 18', 'Total reward: 2170.0', 'Explore P: 0.5000', 'Running Average: 1121.05263158')
('Episode: 19', 'Total reward: 340.0', 'Explore P: 0.5000', 'Running Average: 1082.0')
('Episode: 20', 'Total reward: 2410.0', 'Explore P: 0.5000', 'Running Average: 1145.23809524')
Model Saved
('Episode: 21', 'Total reward: 2880.0', 'Explore P: 0.5000', 'Running Average: 1224.09090909')
('Episode: 22', 'Total reward: 1320.0', 'Explore P: 0.5000', 'Running Average: 1228.26086957')
('Episode: 23', 'Total reward: 1850.0', 'Explore P: 0.5000', 'Running Average: 1254.16666667')
('Episode: 24', 'Total reward: 1500.0', 'Explore P: 0.5000', 'Running Average: 1264.0')
('Episode: 25', 'Total reward: 1380.0', 'Explore P: 0.5000', 'Running Average: 1268.46153846')
Model Saved
('Episode: 26', 'Total reward: 340.0', 'Explore P: 0.5000', 'Running Average: 1234.07407407')
('Episode: 27', 'Total reward: 440.0', 'Explore P: 0.5000', 'Running Average: 1205.71428571')
('Episode: 28', 'Total reward: 500.0', 'Explore P: 0.5000', 'Running Average: 1181.37931034')
('Episode: 29', 'Total reward: 540.0', 'Explore P: 0.5000', 'Running Average: 1160.0')
('Episode: 30', 'Total reward: 520.0', 'Explore P: 0.5000', 'Running Average: 1139.35483871')
Model Saved
('Episode: 31', 'Total reward: 580.0', 'Explore P: 0.5000', 'Running Average: 1121.875')
('Episode: 32', 'Total reward: 2330.0', 'Explore P: 0.5000', 'Running Average: 1158.48484848')
('Episode: 33', 'Total reward: 580.0', 'Explore P: 0.5000', 'Running Average: 1141.47058824')
('Episode: 34', 'Total reward: 2350.0', 'Explore P: 0.5000', 'Running Average: 1176.0')
('Episode: 35', 'Total reward: 460.0', 'Explore P: 0.5000', 'Running Average: 1156.11111111')
Model Saved
('Episode: 36', 'Total reward: 1690.0', 'Explore P: 0.5000', 'Running Average: 1170.54054054')
('Episode: 37', 'Total reward: 960.0', 'Explore P: 0.5000', 'Running Average: 1165.0')
('Episode: 38', 'Total reward: 1360.0', 'Explore P: 0.5000', 'Running Average: 1170.0')
('Episode: 39', 'Total reward: 2890.0', 'Explore P: 0.5000', 'Running Average: 1213.0')
('Episode: 40', 'Total reward: 380.0', 'Explore P: 0.5000', 'Running Average: 1192.68292683')
Model Saved
('Episode: 41', 'Total reward: 680.0', 'Explore P: 0.5000', 'Running Average: 1180.47619048')
('Episode: 42', 'Total reward: 1490.0', 'Explore P: 0.5000', 'Running Average: 1187.6744186')
('Episode: 43', 'Total reward: 3320.0', 'Explore P: 0.5000', 'Running Average: 1236.13636364')
